Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+d_iv_lag+vega+rho,67.36637115478516,0.0001820392935154234,0.013492193799209356,0.007117831613868475,-0.00043816090328618884,0.004298150539398193,0.43332793605619224,12.9s,38.48%,-12.27%
3F+vix_mom_lag+vix_mom+gamma,91.09760284423828,0.00024616649195205784,0.015689693813202916,0.007175476755946875,-7.58549285819754e-05,0.004093162715435028,0.23370569411454845,12.8s,16.81%,-35.23%
3F+vix_mom_lag+vix_mom+theta,82.3227767944336,0.00022245491141943604,0.01491492244094605,0.0064903791062533855,0.0012452731607481837,0.0034939944744110107,0.30751772678238665,13.0s,24.82%,9.63%
3F+vix_mom_lag+vix_mom+vega,88.13806915283203,0.00023816915718274364,0.015432730062524377,0.006878930144011974,-7.590823224745691e-05,0.0038119852542877197,0.25860068306039863,12.9s,19.51%,-7.06%
3F+vix_mom_lag+vix_mom+rho,86.72130584716797,0.00023434073972725865,0.01530819191567896,0.006661569699645042,-0.00013445985678117722,0.00360870361328125,0.2705182047077477,12.9s,20.81%,1.61%
3F+vix_mom_lag+gamma+theta,86.18135833740234,0.00023288167845487238,0.015260461279229812,0.006994339637458324,-0.0003560905752237886,0.003864601254463196,0.2750601321492182,12.8s,21.30%,0.62%
3F+vix_mom_lag+gamma+vega,96.66221618652344,0.00026120334586227675,0.016161786592523635,0.007491686847060919,0.0010245974408462644,0.00432528555393219,0.18689731073767435,12.8s,11.73%,-12.16%
3F+vix_mom_lag+gamma+rho,88.53546142578125,0.00023924300170451474,0.01546748207383848,0.006727771833539009,2.609055991342757e-05,0.003570839762687683,0.255257900962339,12.7s,19.15%,8.41%
3F+vix_mom_lag+theta+vega,88.58126068115234,0.00023936676173416115,0.01547148220870131,0.007007535081356764,-1.686749601503834e-05,0.003880433738231659,0.25487264704226964,12.8s,19.11%,-0.05%
3F+vix_mom_lag+theta+rho,91.68946838378906,0.00024776584757755816,0.015740579645539047,0.007416273467242718,-0.00017702102195471525,0.004276111721992493,0.22872704288062884,13.0s,16.27%,-3.51%
3F+vix_mom_lag+vega+rho,96.58187866210938,0.00026098625555540073,0.016155069035921843,0.0074182008393108845,4.729478314402513e-05,0.004247069358825684,0.1875730934760268,12.8s,11.80%,-5.34%
3F+vix_mom+gamma+theta,78.82933044433594,0.00021301482292120558,0.014595027335404534,0.006221808027476072,0.00037888859515078366,0.0031458139419555664,0.3369038792432081,12.8s,28.01%,18.38%
